SQGDP2 Gross domestic product (GDP) by state 1,,,,,,,,,,,,,,,,,,,
SQGDP2 Gross domestic product (GDP) by state 1,,,,,,,,,,,,,,,,,,,
State or DC,,,,,,,,,,,,,,,,,,,
GeoFips,GeoName,LineCode,Description,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4,2022:Q1,2022:Q2,2022:Q3,2022:Q4,2023:Q1,2023:Q2,2023:Q3,2023:Q4
36000,New York,60,"      Professional, scientific, and technical services",157349.1,146870,152535,154852.7,160487.1,163157.6,171930.8,178063.5,179546.6,177673.3,179534.4,182828.8,186492.8,191616.6,193656.6,198187.6
36000,New York,64,      Management of companies and enterprises,28225,26742.2,28022.6,29591.9,31821.1,29670,30039.3,33378,33077.9,32731,34388.1,34175,34941.4,34336.1,34086.8,34231.5
36000,New York,65,      Administrative and support and waste management and remediation services,47301.6,40391.5,42583.1,49385.9,43051,45980.3,47321.5,46768.7,50956.7,52434.9,53542.9,54506.6,55674.4,56965.6,57806.8,58552.6
36000,New York,69,      Educational services,37264.2,33639.4,35233.9,34127.7,35673.6,36344.6,37686.8,37700.9,38573.7,38609.8,39508.8,40521.9,40807.6,40993.2,42024.7,42937.5
36000,New York,70,      Health care and social assistance,132139.8,116908.9,133341.7,136283.6,134653.7,136804.5,136780.7,140707,141826.6,145772.7,147877.3,151203,158408.1,157975.2,164698.3,165290.9
36000,New York,76,"      Arts, entertainment, and recreation",29500,12072.3,17247.1,20047,20671,22397.7,25003.7,27127.6,26435.8,27717,29967.8,31111.7,32670.1,33192.2,32604.5,32430.1
36000,New York,79,      Accommodation and food services,48371.7,21076.5,33749.4,34146.1,37714.2,47037.6,53190.9,54821.5,53094.7,56793.7,58725.3,58946.1,62723.8,64109.1,64249.8,64261.7
36000,New York,82,      Other services (except government and government enterprises),35054.7,28396.6,33233.5,32938.7,32234.2,33971.9,34727.1,35308.4,36661,37105.3,37889.4,39437.3,39322.7,39645.5,40332.4,40700.3
36000,New York,83,  Government and government enterprises,189683.4,183986.7,186091.1,188394.2,187433.9,193938.6,199697.1,201089.7,199451.6,199287.3,197097.3,199605,204221.4,205497.2,215121.2,214415.3
36000,New York,84,    Federal civilian,20503.9,20604.1,22464.9,21461.5,21487.5,21837.6,22031.7,22397.4,22714.5,22749.8,22923.7,23223,23611.2,23733.4,24006.1,24185.9
36000,New York,85,    Military,5357.1,5438,5467.6,5519,5619.6,5684.2,5658.7,5697.8,5665.3,5671,5674.5,5712.2,5814.5,5872.1,5992.5,5986.4
36000,New York,86,    State and local,163822.4,157944.7,158158.6,161413.7,160326.7,166416.8,172006.8,172994.5,171071.8,170866.5,168499.2,170669.8,174795.7,175891.7,185122.6,184243
48000,Texas,1,All industry total,1840874.8,1676440.7,1819976.6,1871282.8,1957009.4,2045172,2120880.3,2232827.4,2323836.7,2433824.2,2477702.4,2512336.8,2536078.1,2543637.3,2608141.6,2647607.9
48000,Texas,2,  Private industries,1635940.8,1473971,1612892.5,1665250.2,1745071.4,1835370.1,1906940,2018684,2103562.9,2213013.7,2254335.6,2284444.8,2304893.8,2309807.1,2370300.1,2405771.7
48000,Texas,3,"      Agriculture, forestry, fishing and hunting",12054.5,4309.5,8282.8,8838,11628.7,12354,12522.7,12645.9,17343.2,16757.1,17158.2,17192.3,21118.7,19468.1,19387.7,18321.4
48000,Texas,6,"      Mining, quarrying, and oil and gas extraction",105541.6,61457.5,81391.2,99893.3,127897.6,148769.3,166645.1,196245.2,208574.4,254736.9,246301.2,220459.6,204033.6,189685.3,207959.6,211939.2
48000,Texas,10,      Utilities,26085,27770.7,30559.4,30251.7,33597,32563.2,33657.8,35238.4,36710.5,41534.4,44707.1,43836.1,45673.2,46527.7,47131.1,44535.9
48000,Texas,11,      Construction,99589.7,97815.6,96186.9,97980.3,97992,99192.2,101145.7,106522.2,108357.6,111566.7,115580,120486.6,121689.2,123940,128696.6,131810.9
48000,Texas,12,      Manufacturing,191378.1,171795.4,184567.8,193596.8,201735.7,212506.6,228079.9,254003.2,257499.8,274284.6,278310,291422.5,289276.8,285474.8,297179.1,298650.4
48000,Texas,13,          Durable goods manufacturing,102902.9,91083,98476.3,101604.8,102757.8,101463.5,102207.7,108280.1,110596.5,112627.4,115164.4,120825.9,122042.9,126150.5,131649.6,133567
48000,Texas,25,          Nondurable goods manufacturing,88475.2,80712.4,86091.5,91992,98977.9,111043.1,125872.3,145723.1,146903.3,161657.3,163145.6,170596.6,167233.8,159324.3,165529.5,165083.4
48000,Texas,34,      Wholesale trade,154714.8,143344.8,156517.2,157851.8,156496.7,160622.5,163752.6,169192.8,184592.5,190916.8,195213.9,198770.7,201410.8,201815.8,206243.2,206936.5
48000,Texas,35,      Retail trade,109001.5,107102.9,120605.6,118953.1,127065.3,135608.7,135695.4,138149.6,141995.5,144833.6,146106.3,153493.5,155702.6,158372.2,161237.6,163727.2
48000,Texas,36,      Transportation and warehousing,70880.2,57000.3,62442,66225.6,68656.9,74276,80063.8,83533.8,89925.6,91122.1,93399.6,94236.3,94888,96593.9,95555.2,97825.6
48000,Texas,45,      Information,74378.2,73957.7,77505.6,78538.3,81920.5,85359.7,85154.8,88531.1,91073.7,90584.7,92439.5,94715.1,91820.2,95071.9,95799.2,95720.5
48000,Texas,51,      Finance and insurance,101732.2,104419.7,107151.2,113243.4,116501.4,122260.3,125121.1,129869,134963.5,137873.7,140495.6,140092.7,143897.7,143871.5,145413,148801.2
48000,Texas,56,      Real estate and rental and leasing,235038.3,232763.3,244377.9,248890.9,251218.3,258112.4,267474.7,277295.7,288184.7,298298.8,306758.5,316161.7,325756.7,331511,336875.5,343324
48000,Texas,60,"      Professional, scientific, and technical services",135583.1,126804.5,132620.8,134849.2,141453.2,149703.6,155147.5,162265.9,167594,173612.7,178780.5,182486.2,187698.7,191012.8,193977.3,199587.2
48000,Texas,64,      Management of companies and enterprises,25428.5,24767,24963.9,25908.4,27625.8,31627.7,28927.7,30494.3,34538.9,36974,37353.3,38961.8,39693.9,39292.5,40108.4,40781.9
48000,Texas,65,      Administrative and support and waste management and remediation services,63982.6,55905.4,63774.1,65760,71548.8,70695.3,73783.8,77308.7,79803,81005.6,83166.6,85048.3,86148.5,86715.6,87657,90682.4
48000,Texas,69,      Educational services,14753.9,13160.3,14109.6,13719.6,14344.4,15090.5,15420.1,15878.5,15817,16438.7,17072.3,17233.2,17590.2,17556.2,17821.7,18389.2
48000,Texas,70,      Health care and social assistance,114654.6,98543,115934.3,118104,119781.8,120726.2,122245.3,126227.3,127944,129590.4,134069.8,136920.7,142315.7,144369.4,148276.3,151184.3
48000,Texas,76,"      Arts, entertainment, and recreation",12462.8,6407.3,9129.9,10043.3,10528.9,10812.2,11504.5,11654.2,12875.8,13642.6,14602.8,15227.3,16244.2,16292.8,16526.9,17228.9
48000,Texas,79,      Accommodation and food services,49344.3,34451,45401.3,44797.2,47987,55791.6,59433.7,61372.1,62211.1,64309.8,66176.2,68943.1,71421.3,73376.5,75220.6,75824.7
48000,Texas,82,      Other services (except government and government enterprises),39336.8,32195.2,37370.9,37805.4,37091.7,39298,41163.8,42256,43558,44930.6,46644.6,48757.1,48513.8,48859,49234.2,50500.2
48000,Texas,83,  Government and government enterprises,204934.1,202469.6,207084.1,206032.5,211938,209801.9,213940.3,214143.4,220273.8,220810.6,223366.7,227892,231184.3,233830.2,237841.5,241836.2
48000,Texas,84,    Federal civilian,31388.3,32218.2,33500,33475.3,33581.4,33989.2,34366.3,34727,34914,34909,35412.2,36016.7,36955,37676.5,38337.8,38843.2
48000,Texas,85,    Military,16756.4,16934.2,17040.6,17358.1,17937.4,18228.7,18185.9,18258.6,18109.9,18275.9,18463.9,18560.1,18921.6,19070.4,19499.1,19801.8
48000,Texas,86,    State and local,156789.4,153317.2,156543.5,155199.2,160419.2,157584,161388.1,161157.8,167249.9,167625.6,169490.6,173315.3,175307.7,177083.3,180004.6,183191.2
53000,Washington,1,All industry total,619251.6,584351.8,637585.2,639342.9,662224.7,685605.8,691182,711796.8,720503.4,732415.3,749418.8,769300.5,783604.5,800463.6,815478.7,831911.3
53000,Washington,2,  Private industries,540691.6,508516.8,560575.7,562026.6,582139.9,605040.2,609757.9,630865.7,636029.5,648520.1,664283.6,681711.2,695138.3,710184.5,724106.9,739324.2
53000,Washington,3,"      Agriculture, forestry, fishing and hunting",6872.8,7418.5,7770,8122.2,6869.8,7496.3,8104.2,9236.8,9099.5,9035.2,9379.6,10275.2,8691.7,8629.5,8177.6,8010
53000,Washington,6,"      Mining, quarrying, and oil and gas extraction",452.7,298.3,419.1,431.2,490.1,486.2,473.1,539.7,536.6,654.9,589,528,513.2,482,555.8,542.1
53000,Washington,10,      Utilities,5098.9,4688.4,5040.4,5181.4,5785.2,5821.9,6062.6,6016.5,6100.9,6855.7,7120.3,6861.6,6417.3,6894.8,6605.6,6389.5
53000,Washington,11,      Construction,28401.6,24493.8,28248.9,28550.5,29734.1,29210.2,28942.7,30052,31128.5,31573,32744.1,33386.6,34609.9,34531.2,34397.5,34312.1
53000,Washington,12,      Manufacturing,55702.8,52047.1,53003.5,54491.5,52932,57970.9,59172.5,60379.5,59698.1,63329.6,63725.5,65522,64857.2,66081.5,68653,69347
53000,Washington,13,          Durable goods manufacturing,40996.4,38700,38642.5,39643.2,37748,41480.3,41846.3,41579.5,40315.4,42651.9,42783.5,44189.7,43907.9,45469.8,47451.7,48273.9
